,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,pDC
1700051A21Rik,0.04901837360182559,0.09088851410255513,0.0,0.8620405350877217,0.025080130812869365,0.14667009823403113,0.00612168109119434,0.22939378706592595,0.22765801262846513,0.0
1700056E22Rik,0.1023751041335127,0.044679757865809334,0.0,0.4711597061688805,0.03901317834947541,0.14667009823403113,0.005548463103272837,0.4767543776563461,0.13566400792919747,0.0
1700061G19Rik,0.2692359687204758,0.15689495273996346,0.0,1.0,0.011918055031742475,0.14667009823403113,0.036879036537749085,0.8534557097054426,0.3362231243016054,0.0
1700061H18Rik,0.28694440823129397,0.5380366305266964,0.0,0.8571849180925775,0.07655098229782673,0.14667009823403113,0.02774342153661108,0.5809677063503569,0.28389800708966967,0.0
1700099I09Rik,0.16441922341372364,0.07398091179333774,0.0,0.8697214829309522,0.06379672289121228,0.06540556589897925,0.038791039575349455,0.8319441931827958,0.16690829302674226,0.0
1700102P08Rik,0.30831072665021536,0.16373081720826715,0.0,0.741279715107652,0.09536693092781284,0.14667009823403113,0.022858111320211847,0.5713653095733702,0.12575708404669939,0.0
1700112J16Rik,0.6289845395572948,0.37245279607829374,0.0,0.22724734097103,0.17180669480398952,0.14667009823403113,0.18490298995521579,0.6900337509707726,0.8925270258148755,0.0
1810019N24Rik,0.056321758874458144,0.1764642921344623,0.0,1.0,0.020556082722983312,0.14667009823403113,0.08524930265614344,0.90284743981736,0.14059063779841965,0.0
1810041L15Rik,0.5224343843969401,0.2468001051193335,0.0,0.8518259063621392,0.1014749135621114,0.14667009823403113,0.057391295069585076,0.927048295350307,0.19840222760306797,0.0
2010005H15Rik,0.04303386165281509,1.0,0.0,0.7580489245682419,0.9322762622269175,0.06540556589897925,0.05393811119724359,0.4226485675661854,0.004860488719147571,0.0
2010007H06Rik,0.8011160578589623,0.17187235166224996,0.0,0.8656084606795994,0.008659911284634591,0.2799572043591872,0.03112344335534603,0.7842695865851905,0.5409441763554221,0.0
2010300C02Rik,0.10329209669771071,0.44224560349205555,0.0,0.4977135992625432,0.05014947900303161,0.2799572043591872,0.01673088077935663,0.33552526063704613,0.29417975598208146,0.0
2200002D01Rik,0.017051648155171226,0.09088851410255525,0.0,0.48633855351153543,0.04505628369955811,0.06540556589897925,0.00668461367941613,0.4968579883614148,0.0533237155567892,0.0
2210008F06Rik,0.868553866160281,0.08490796802537716,0.0,0.6377012172432659,0.038927134541997345,0.06540556589897925,0.08818382093400574,0.7168222800997868,0.5744364281492554,0.0
2310007B03Rik,0.2918381898920108,0.3232349755309014,0.0,1.0,0.06253659010274176,0.2799572043591872,0.024888188608823483,0.31093927456714693,0.37999121398272895,0.0
2310016D03Rik,0.16871437277700196,0.039414446698062225,0.0,0.48633855351153543,0.19034554260258826,0.2799572043591872,0.06140338286273469,0.7940588171494696,0.1147605536544824,0.0
