,Baso,Ccr7_DC,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1700061H18Rik,0.3588604173508789,0.34343639613791355,1.0,0.35584114604163897,0.7968428819003897,0.07410028817072922,0.681411733368841,0.013746883298422897,0.40395965919079835
1700099I09Rik,0.7061697176286068,0.34343639613791355,1.0,0.35584114604163897,0.9568487306965084,0.1855600081576413,0.8443229507748805,0.09455021948903425,0.9171056135981793
1700102P08Rik,0.6448405838075073,0.34343639613791355,1.0,0.35584114604163897,0.8145054280346031,0.010107126680319841,0.6851879098662661,0.15452687088914108,0.9663215542315313
1700112J16Rik,0.7368810558014594,0.34343639613791355,0.5565650165675332,0.6600791471799283,0.42563504372610417,0.13033534833719354,0.35765559302539285,0.26746382855296136,0.7469934827706156
1810019N24Rik,0.8154602978831806,0.34343639613791355,0.6619521150893831,0.35584114604163897,0.6785959151787474,0.4726072043430549,0.24536013372204926,0.04218357809640223,0.832834047656765
1810041L15Rik,0.9529205090463337,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.8576334245650329,0.07107703542031202,0.735575134879131,0.06453424574258405,0.7588806543838384
2010005H15Rik,0.3820706484183901,0.34343639613791355,1.0,0.13814824935619238,0.9545032658930758,0.0022658783928813037,0.1831005133771315,0.058952758146078865,0.06780765482726787
2010007H06Rik,0.6429086661600139,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.8394414553580303,0.22831199642466649,0.8556229540208624,0.05824778375334859,0.8598217647731168
2010300C02Rik,0.8124248725342363,0.34343639613791355,1.0,0.6600791471799283,0.8160542843825502,0.7166946432605158,0.3303008686244362,0.09034569258057853,0.6803549131441984
2200002D01Rik,1.0,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.7605447082510944,0.2882483245321098,0.8935242759276235,0.06550373881568904,0.5453743568958351
2210008F06Rik,0.825679877549963,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.9521431290951409,0.15684973156135332,0.7765565439130848,0.041181022445711396,0.2986601526163578
2310007B03Rik,0.5458414158818031,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.7061798423738364,0.07960253331937833,0.6169964003798758,0.016489864855039976,0.13835049758291174
