,Baso,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
2810408A11Rik,0.18826391029677858,0.175567473797168,1.0,0.7875314557869044,0.41145986387927647,0.27282393931735444,0.664656524035323,0.3490107061428822
2900089D17Rik,0.3338291002098537,0.7914994820300864,0.6055344593883785,0.7674715919832564,0.8201293180870829,0.5416512946748144,1.0,0.13414936986933745
3110079O15Rik,0.696335967448803,0.4453122458971731,1.0,0.8995646176703698,0.918325009893303,0.8226348573508857,0.9326135499793868,0.9332485440591001
3830432H09Rik,0.8776387359697426,0.3647602679313472,0.8089638879295136,0.7405496239139271,0.8437828825379599,0.6753213914003584,0.8591342396247482,0.5283037160024033
4631405J19Rik,0.7993774197853798,0.09845368035778311,0.341709169316572,0.8777901728883112,0.9162881180471854,0.6485660576297267,0.7734336308520957,0.7042200458775763
4831440E17Rik,0.6003609649480215,0.3307261909339272,0.6162466111491085,0.9999999999999997,0.42961297173575264,0.8678409449796229,0.27476267152682793,0.8775259525925029
4930417H01Rik,0.32666735543221304,0.3307261909339273,0.30733908165438106,0.7322657785953572,0.490171233790034,0.8966244819114435,0.49869548104249795,0.35725568487532067
4930426D05Rik,0.7651091345185141,0.7495834172497505,0.7771609909615929,0.6753309432176322,0.9545120309982096,0.560471545228386,0.696640510277301,0.5315944566540849
4930431P03Rik,0.27595151277200236,0.4453122458971728,1.0,0.9999999999999996,0.7101482908899063,0.5513015096117142,0.6458186815095768,0.48173508497427897
4930452B06Rik,0.04173814190425693,0.5906400207514709,0.7771609909615929,0.5113523597224601,0.19050416835715772,0.4914624068361729,0.20203638253887685,0.7166566681370959
4930458D05Rik,0.8742077542480138,0.08996086179290894,1.0,0.45771842782637717,0.6262313658448067,0.8851408514929613,0.7319953899058748,0.6835171043109655
4930503B20Rik,0.020033041982345876,0.8086959074976414,0.8089638879295136,0.1868931345632621,0.5278219530846358,0.46170968191456885,0.4593413337339015,0.5319387483975142
4930517L18Rik,0.7122730513763782,0.754840715291653,1.0,1.0,0.5935271306379575,0.8873170637980698,0.8728384346501146,0.7930931053811905
