,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
2310016D23Rik,0.5313774425690823,0.21092852875456633,0.34343639613791355,1.0,0.4873269836070355,0.4707259145459691,0.5305577432219729,0.07453854051768732,0.09344871558023227
2310031A07Rik,0.5392820811064453,0.22367823125125033,0.34343639613791355,0.8060824350186249,0.6064614777889519,0.3590116819214234,0.07184358343119181,0.014023306873725883,0.32616426601729376
2310034C09Rik,0.8075249515284157,0.8089638879295138,0.19342205960333228,0.8279923669552666,0.2700934725274111,0.6256674000825165,0.05790370992705327,0.017394399319235605,0.1517793441624715
2410006H16Rik,0.3598171381025117,0.4877522562031483,0.19342205960333228,0.8411122933835562,0.0702128208733145,0.8281992886239742,0.27187605589772956,0.0748604734918131,0.37373094074530644
2410017I17Rik,0.8122130372711696,0.153535325301342,0.34343639613791355,1.0,0.9587302716668562,0.6658302726303922,0.5018564379007376,0.1008583737758819,0.1465770265607733
2610028E06Rik,0.7982747122076401,0.0480375277409472,0.34343639613791355,1.0,0.1046654636436912,1.0,0.15797408926362538,0.09689521224551961,0.2896737962213676
2610035D17Rik,0.9211184312794813,0.5335385270481052,0.34343639613791355,0.3983609043461408,0.43257896706721866,0.4930815524244151,0.09401925403550819,0.011665248419593623,0.13836189262400198
2610037D02Rik,0.5425430990182174,0.38809613338586946,0.34343639613791355,0.8332756115917841,0.9617467600293164,0.8281992886239742,0.07351438093534082,0.00986590649756292,0.6872548032096899
2610301B20Rik,0.450170728199381,0.9999999999999997,0.34343639613791355,0.6132506495779411,0.13139840258153285,0.574187803162012,0.05189700837978485,0.28137095990405464,0.8463560673402488
2610307P16Rik,0.625829147888897,0.6733220369505304,0.16785065605707486,0.8241857874586083,0.34204929593096745,0.6474110240142328,0.12990248413102384,0.10685635871095221,0.8429983421458163
2610528A11Rik,0.8839910859375195,0.06044727948157492,0.34343639613791355,1.0,0.5441967991135407,0.3590116819214234,0.10863329712143563,0.35099628054398424,0.5850397968011021
2700068H02Rik,0.6914427466310129,0.8201835237244326,0.34343639613791355,0.31040732741198357,0.8606729007886466,0.8281992886239742,0.27705094495248467,0.48607894947730146,0.5585014069822123
2810029C07Rik,0.4955955696790313,0.24486002996420891,0.34343639613791355,0.673573770986162,0.16203502652724533,0.8281992886239742,0.37476648079236474,0.06032055798921848,0.07821645382067625
2810403D21Rik,0.5050066817361425,0.5120998269641941,0.34343639613791355,0.3432895832111098,0.06567423496759069,0.8281992886239742,0.28004447962354045,0.09373381766132807,0.21536237417455373
2810408A11Rik,0.5431195582350771,0.9999999999999997,0.34343639613791355,0.5567634802810919,0.4461113955675652,0.4332083246242646,0.13526480065476273,0.08858696681410728,0.7075548976662325
2900089D17Rik,0.2898747213456585,0.656579224694315,0.34343639613791355,0.8241857874586083,0.4760096501894657,0.24754392205324724,0.7517454487679239,0.06317657869533987,0.11220549863626408
3110079O15Rik,0.39646519567997596,0.8514265499836255,0.34343639613791355,0.4499675907802926,0.5852655512486529,0.6474110240142322,0.5453504460620389,0.07070476826846128,0.01391331482674093
3830432H09Rik,0.6937193527824461,0.4118396686577851,0.34343639613791355,0.464491487489036,0.23380742139438634,0.4647092004024853,0.31286713583924375,0.1271420198489902,0.36334098146369576
4631405J19Rik,0.7031225670948136,0.7008070104813595,0.34343639613791355,0.6132506495779411,0.23543101962983437,0.5175101500078587,0.8850234452693405,0.3496421587083205,0.150555912131585
4831440E17Rik,0.5035752231228589,0.552534532653042,0.34343639613791355,1.0,0.776533243789461,0.4647092004024853,0.25020651896716467,0.01921136215625415,0.19406200930663323
