velo_g_4.0_training,step,velo_g_7.0_training,velo_f_7.0_training,sinkhorn_7.0_training,total_epochs,velo_f_4.0_training,sinkhorn_4.0_training,velo_ratio_7.0_training,epoch,velo_ratio_4.0_training,opt_param_group_lr,velo_f_4.0_validation,velo_f_7.0_validation,sinkhorn_7.0_validation,epoch_validation_loss,velo_g_4.0_validation,velo_ratio_7.0_validation,velo_g_7.0_validation,velo_ratio_4.0_validation,sinkhorn_4.0_validation,epoch_train_loss
1.1274948120117188,10,1.1140180826187134,0.07998409122228622,252.28207397460938,6.0,0.08472967147827148,0.0,589.6165771484375,6,587.9904174804688,9.999999747378752e-05,,,,,,,,,,
,10,,,,6.0,,,,6,,9.999999747378752e-05,0.08863408863544464,0.08190838247537613,129.46109008789062,106.30236053466797,1.1191325187683105,588.6082763671875,1.1096307039260864,585.9869995117188,0.0,
,10,,,,,,,,6,,,,,,,,,,,,188.82476806640625
1.1347817182540894,11,1.1037845611572266,0.08306770026683807,125.76961517333984,7.0,0.08919049799442291,0.0,587.9378051757812,7,586.3192138671875,9.999999747378752e-05,,,,,,,,,,
,11,,,,7.0,,,,7,,9.999999747378752e-05,0.09735962748527527,0.08925145119428635,143.5878143310547,113.5963134765625,1.0868066549301147,583.547607421875,1.0593312978744507,580.92529296875,0.0,
,11,,,,,,,,7,,,,,,,,,,,,125.76961517333984
1.1255286931991577,12,1.0960861444473267,0.08995212614536285,126.30265808105469,8.0,0.09705127030611038,0.0,584.6401977539062,8,582.6299438476562,9.999999747378752e-05,,,,,,,,,,
1.4001595973968506,13,1.3556928634643555,0.09780338406562805,228.3817901611328,8.0,0.09966545552015305,0.0,589.4490356445312,8,589.9158935546875,9.999999747378752e-05,,,,,,,,,,
,13,,,,8.0,,,,8,,9.999999747378752e-05,0.1095406636595726,0.10018207132816315,152.12197875976562,152.12197875976562,1.1689270734786987,581.0540161132812,1.1194311380386353,579.02294921875,0.0,
,13,,,,,,,,8,,,,,,,,,,,,177.34222412109375
1.0984910726547241,14,1.063673734664917,0.10027753561735153,124.95140075683594,9.0,0.10915199667215347,0.0,578.7513427734375,9,576.3046264648438,9.999999747378752e-05,,,,,,,,,,
,14,,,,9.0,,,,9,,9.999999747378752e-05,0.11536690592765808,0.1049971804022789,159.09982299804688,159.09982299804688,1.0338207483291626,573.71875,1.0022896528244019,570.4489135742188,0.0,
,14,,,,,,,,9,,,,,,,,,,,,124.95140075683594
1.0764669179916382,15,1.0392587184906006,0.1067054495215416,123.30155181884766,10.0,0.11651921272277832,0.0,574.7169189453125,10,572.050537109375,9.999999747378752e-05,,,,,,,,,,
1.0400110483169556,16,0.9803601503372192,0.1135864183306694,219.847412109375,10.0,0.1230611726641655,0.0,568.4114379882812,10,567.2366333007812,9.999999747378752e-05,,,,,,,,,,
,16,,,,10.0,,,,10,,9.999999747378752e-05,0.13057617843151093,0.12000478804111481,142.02066040039062,142.02066040039062,1.1303074359893799,571.0758056640625,1.088175892829895,568.5732421875,0.0,
