gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
POLR3GL,0.16269248074814965,6.418977592276159e-18,0.16269248074814965,17.1925341403724,True,False,True,False,True,False,False,False,sig.pos
CPXM2,0.03308211010238856,0.0004683334324406582,0.03308211010238856,3.3294448385744504,True,False,True,False,True,False,False,False,sig.pos
CSMD2,0.021793636586759646,0.008230776047615544,0.021793636586759646,2.084559214932584,True,False,True,False,True,False,False,False,sig.pos
CXCR4,0.17238761371188496,1.2269330481148864e-21,0.17238761371188496,20.911179135420983,True,False,True,False,True,False,False,False,sig.pos
MRPS2,-0.09326265023153332,3.329202171562156e-09,-0.09326265023153332,8.477659830758675,True,False,False,True,False,True,False,False,sig.neg
LAX1,0.00030794977103166567,0.0016708781757677014,0.00030794977103166567,2.777055213494135,True,False,True,False,True,False,False,False,sig.pos
PLG,-0.011851312388895918,0.46132898628715735,-0.011851312388895918,0.3359892568830163,False,True,False,True,False,False,False,True,insig.neg
HS3ST2,0.09257687864954474,1.4951795673690018e-08,0.09257687864954474,7.825306646513873,True,False,True,False,True,False,False,False,sig.pos
SPATA1,-0.031191433890245597,0.03763374159428648,-0.031191433890245597,1.4244226014257646,True,False,False,True,False,True,False,False,sig.neg
OCM,0.1886918063106001,2.551025414920997e-22,0.1886918063106001,21.59328521465365,True,False,True,False,True,False,False,False,sig.pos
EEPD1,0.01650900923519636,0.0010872342884503876,0.01650900923519636,2.9636768595776424,True,False,True,False,True,False,False,False,sig.pos
GLIPR2,-0.016427113765900246,0.00013216630512207335,-0.016427113765900246,3.8788792510890153,True,False,False,True,False,True,False,False,sig.neg
CALD1,0.35773234878662713,1.4886385876788943e-40,0.35773234878662713,39.82721072765315,True,False,True,False,True,False,False,False,sig.pos
AKR1D1,0.022924100663309466,0.0011193410592397108,0.022924100663309466,2.951037565323593,True,False,True,False,True,False,False,False,sig.pos
SRGN,0.1660364208788282,2.0607288458081746e-19,0.1660364208788282,18.685979149664988,True,False,True,False,True,False,False,False,sig.pos
ACADS,0.007631115415778515,0.03554875369525476,0.007631115415778515,1.4491756206096467,True,False,True,False,True,False,False,False,sig.pos
NECAB1,0.010784871383539157,0.05598294653211705,0.010784871383539157,1.251944247188853,False,True,True,False,False,False,True,False,insig.pos
DDX39A,-0.04640489081159399,1.1398491414864266e-09,-0.04640489081159399,8.943152623536664,True,False,False,True,False,True,False,False,sig.neg
EBPL,-0.06673528810112851,1.2655708887205863e-07,-0.06673528810112851,6.897713523585193,True,False,False,True,False,True,False,False,sig.neg
OPTN,0.17195880388174986,7.396177445547131e-19,0.17195880388174986,18.130992678002656,True,False,True,False,True,False,False,False,sig.pos
NR4A1,0.0643666046807615,4.440239496813254e-05,0.0643666046807615,4.352593604358514,True,False,True,False,True,False,False,False,sig.pos
ATG101,0.0365515026849272,6.463658130565069e-06,0.0365515026849272,5.189521621901705,True,False,True,False,True,False,False,False,sig.pos
NFE2,0.3579061048046652,8.615150076806137e-44,0.3579061048046652,43.06473715269522,True,False,True,False,True,False,False,False,sig.pos
PLA2G12A,0.21797689083165278,2.4998964451310035e-27,0.21797689083165278,26.60207798102382,True,False,True,False,True,False,False,False,sig.pos
