gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
HLA-DRB6,0.10091252585482646,4.886360048438877e-07,0.10091252585482646,6.3110145354614,True,False,True,False,True,False,False,False,sig.pos
AL596087.2,0.0408330574798095,1.0968365460219614e-08,0.0408330574798095,7.959858087511713,True,False,True,False,True,False,False,False,sig.pos
MBNL1-AS1,-0.010775042144227065,0.52198321959195,-0.010775042144227065,0.28234345821566553,False,True,False,True,False,False,False,True,insig.neg
ITGB1-DT,0.03128376356757945,0.06821090509067924,0.03128376356757945,1.1661461877759953,False,True,True,False,False,False,True,False,insig.pos
SOS1-IT1,-0.21360555998658406,5.79630509593983e-16,-0.21360555998658406,15.236848762953128,True,False,False,True,False,True,False,False,sig.neg
CXCR2P1,-0.27523607951416384,2.0355048848028136e-23,-0.27523607951416384,22.691327851063818,True,False,False,True,False,True,False,False,sig.neg
AC008568.1,0.02737522673571257,0.002046001430164281,0.02737522673571257,2.6890940670499397,True,False,True,False,True,False,False,False,sig.pos
STEAP3-AS1,-0.05095844301175787,1.5732494824977049e-06,-0.05095844301175787,5.803202402436621,True,False,False,True,False,True,False,False,sig.neg
LINC01435,-0.002342668647272176,7.150373196598441e-08,-0.002342668647272176,7.145671290647356,True,False,False,True,False,True,False,False,sig.neg
HBBP1,-0.43881396214060664,2.900736856739462e-32,-0.43881396214060664,31.537491666871045,True,False,False,True,False,True,False,False,sig.neg
AC006059.1,-0.04119197976004088,0.0007049581882258865,-0.04119197976004088,3.1518366406841594,True,False,False,True,False,True,False,False,sig.neg
LINC01721,0.11636790164897604,3.483949197149538e-15,0.11636790164897604,14.45792818648828,True,False,True,False,True,False,False,False,sig.pos
AP000688.1,-0.004193486575954603,0.0004037467905271835,-0.004193486575954603,3.393890916950312,True,False,False,True,False,True,False,False,sig.neg
ELOVL2-AS1,0.009663431461533489,4.3726488780401514e-07,0.009663431461533489,6.359255394928623,True,False,True,False,True,False,False,False,sig.pos
FAM41C,0.062395021135141254,6.279002317799496e-05,0.062395021135141254,4.20210935662833,True,False,True,False,True,False,False,False,sig.pos
PSMG3-AS1,0.029385849555057374,0.6703005171871672,0.029385849555057374,0.17373044551535005,False,True,True,False,False,False,True,False,insig.pos
AL139383.1,0.16306092963191762,8.447593593154334e-13,0.16306092963191762,12.073266987861405,True,False,True,False,True,False,False,False,sig.pos
AL392046.1,-0.052459432071160855,0.01054463598056933,-0.052459432071160855,1.9769684082771561,True,False,False,True,False,True,False,False,sig.neg
CCDC192,-0.03381995761584565,0.0005278187300923092,-0.03381995761584565,3.27751520253695,True,False,False,True,False,True,False,False,sig.neg
AC004039.1,0.002385167048708837,0.0011375151652403522,0.002385167048708837,2.9440428046609175,True,False,True,False,True,False,False,False,sig.pos
AL139220.2,-0.035551773515982384,0.07214060734857665,-0.035551773515982384,1.1418202056962654,False,True,False,True,False,False,False,True,insig.neg
AC011005.1,0.01663502914998744,8.101203047587742e-06,0.01663502914998744,5.091450482586488,True,False,True,False,True,False,False,False,sig.pos
AC005532.1,0.07445236912085171,6.86895443929743e-05,0.07445236912085171,4.163109364221519,True,False,True,False,True,False,False,False,sig.pos
AL360227.1,-0.06365651245366521,0.0009169144505951716,-0.06365651245366521,3.0376711827243477,True,False,False,True,False,True,False,False,sig.neg
LINC01508,0.16474283557436062,8.51404741203093e-15,0.16474283557436062,14.069863935703857,True,False,True,False,True,False,False,False,sig.pos
LNCAROD,-0.5429884973399668,1.0553075763616282e-40,-0.5429884973399668,39.976620943922185,True,False,False,True,False,True,False,False,sig.neg
