,lfc,lfc_std,pval,version,z
Mast,-0.19139590216678784,0.15839548301963738,0.021199231891936732,version_0,5.0
Meg,0.06032411259731705,0.1479857467912169,0.2641233481790947,version_0,5.0
Monocyte,0.07035539223541915,0.11088983032806762,0.17297066797073926,version_0,5.0
Neutrophil,0.015333607224094192,0.03204380707612275,0.6570859108755294,version_0,5.0
Undifferentiated,0.0015418288637408296,0.10996156132314398,0.9503998859258395,version_0,5.0
Baso,-0.2016565876688002,0.14961490937458308,0.009129421356369589,version_0,7.5
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,7.5
Eos,-0.5999995671918124,0.6863598542381344,0.03708968272305803,version_0,7.5
Lymphoid,4.186313858134303,16.252867861427852,0.410174269996026,version_0,7.5
Mast,-0.18134510333690387,0.13190769764331717,0.01431254160636814,version_0,7.5
Meg,0.012888281618225153,0.19004843814800998,0.8258326252120731,version_0,7.5
Monocyte,0.13786394522667972,0.08645929273443025,0.006318720728668159,version_0,7.5
Neutrophil,0.03722364333771948,0.05902859350902921,0.29656332039096,version_0,7.5
Undifferentiated,-0.06739713482386775,0.06288773317712683,0.02605332581788987,version_0,7.5
Baso,-0.2291529088627696,0.13669623466367173,0.005396238929297617,version_0,10.0
Ccr7_DC,-3.7863142909422742,8.466456138725842,0.373900966300059,version_0,10.0
Eos,-0.9999989901146616,0.615311629475066,0.019348631468294797,version_0,10.0
Lymphoid,4.186313858134303,16.252867861427852,0.410174269996026,version_0,10.0
Mast,-0.21484611866914935,0.105345688168879,0.0018210999521973646,version_0,10.0
Meg,0.07085855443952917,0.16927920145857908,0.29721712962145513,version_0,10.0
Monocyte,0.15686517787768106,0.0904141917672916,0.01832665439334013,version_0,10.0
Neutrophil,0.03833040361782305,0.03604736101210732,0.2717097114413578,version_0,10.0
Undifferentiated,-0.08968385358623113,0.14656537329432132,0.15845782172712405,version_0,10.0
Baso,-0.03741708462642899,0.10525729823995333,0.5048197589968052,version_1,-10.0
Eos,-0.30474716827233406,0.7625813130515697,0.3422928248235734,version_1,-10.0
Erythroid,7.5726285818845485,10.36924873476631,0.1778078083562211,version_1,-10.0
Lymphoid,0.32626891223104637,0.8290447212914941,0.49327379497447243,version_1,-10.0
Mast,-0.0051547137297517035,0.15560001948117924,0.9469790745633251,version_1,-10.0
Meg,-0.29643024492965,0.8469075297177238,0.4295904488261465,version_1,-10.0
Monocyte,0.023758920640530024,0.06168089531347617,0.4827828730803405,version_1,-10.0
Neutrophil,-0.007354033340167362,0.026955525831814285,0.798970407229838,version_1,-10.0
Undifferentiated,0.004069282244464044,0.05312644497887215,0.877256559440011,version_1,-10.0
Baso,-0.04079076924195193,0.09476143482382897,0.5438774012073657,version_1,-7.5
Eos,-0.31896378782858126,0.6393313489323901,0.2589632223815477,version_1,-7.5
Erythroid,11.358942872826821,10.369248734766309,0.07048399691021988,version_1,-7.5
Lymphoid,-0.042863822119970085,1.2357017615031576,0.9295308444828639,version_1,-7.5
Mast,-0.056632714379742155,0.18792857271609453,0.45313326840528523,version_1,-7.5
Meg,-0.18463682929402556,0.6611669850116244,0.4902250557521399,version_1,-7.5
Monocyte,0.009070065826954434,0.054220295395410664,0.7491534260958552,version_1,-7.5
Neutrophil,0.01599037755613417,0.04011129043136794,0.4861949061682548,version_1,-7.5
Undifferentiated,0.004781040833820449,0.05843832051066976,0.8620387193399455,version_1,-7.5
Baso,-0.07968926136159463,0.046807531459078004,0.15828203138041397,version_1,-5.0
Eos,-0.34699931485824953,0.5842701151495571,0.21549608306515872,version_1,-5.0
Erythroid,15.345256875230522,8.58918118251784,0.034109423167409614,version_1,-5.0
Lymphoid,0.21862177347771877,0.8074951162363857,0.7418996823051243,version_1,-5.0
Mast,-0.053905238570037886,0.21188496425221232,0.5978668267032632,version_1,-5.0
Meg,-0.1684094870955403,0.5707654922246421,0.4657977080675558,version_1,-5.0
Monocyte,0.03180486071303155,0.042455395855162274,0.24751312686270852,version_1,-5.0
Neutrophil,0.010817648192989573,0.028535745070945136,0.5266114804293309,version_1,-5.0
Undifferentiated,0.0014281474005075293,0.05113545705030246,0.9686219594131673,version_1,-5.0
Baso,-0.11475889225980615,0.10262346794880813,0.08492823602474088,version_1,-2.5
Eos,-0.3225481445816317,0.9469487909639279,0.5484382580601741,version_1,-2.5
Erythroid,7.5726285818845485,10.36924873476631,0.1778078083562211,version_1,-2.5
Lymphoid,0.1838159255265332,0.9951810078990568,0.7159044284850948,version_1,-2.5
Mast,-0.029034919063549,0.19375840201712374,0.7658715002471841,version_1,-2.5
Meg,-0.14978761583520703,0.5057690826945281,0.4061680233671445,version_1,-2.5
Monocyte,0.04327077139779042,0.05611375074417971,0.24217228076061054,version_1,-2.5
Neutrophil,0.012207944411162073,0.02300046176586152,0.469647912660924,version_1,-2.5
Undifferentiated,-0.005921966031027176,0.062178577531504985,0.8077472127372634,version_1,-2.5
