epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation
0,,,3.9999998989515007e-05,0.0,,916.2820434570312,,12,0.0,0.04023129865527153,,0.039864327758550644,,3.422468662261963,,3.318180561065674,,619.1363525390625,,619.0075073242188,
0,,,3.9999998989515007e-05,0.0,,893.1066284179688,,13,0.0,0.042440544813871384,,0.04211750626564026,,3.3281407356262207,,3.2222137451171875,,618.6402587890625,,618.4815673828125,
0,,,3.9999998989515007e-05,0.0,,919.2244262695312,,14,0.0,0.044840287417173386,,0.04444991052150726,,3.3533027172088623,,3.244379997253418,,618.3319091796875,,618.1685180664062,
0,,973.4153442382812,3.9999998989515007e-05,,0.0,,974.5134887695312,14,0.0,,0.04709513857960701,,0.046688176691532135,,3.272327423095703,,3.1794917583465576,,617.8245239257812,,617.6792602539062
0,930.5366821289062,,,,,,,14,,,,,,,,,,,,,
1,,,3.9999998989515007e-05,0.0,,910.1646118164062,,15,1.0,0.04682883247733116,,0.04640716314315796,,3.307441473007202,,3.1880931854248047,,617.940673828125,,617.7429809570312,
1,,,3.9999998989515007e-05,0.0,,890.4113159179688,,16,1.0,0.0489969365298748,,0.04854724928736687,,3.2728464603424072,,3.1477179527282715,,617.5370483398438,,617.312255859375,
1,,,3.9999998989515007e-05,0.0,,899.5654296875,,17,1.0,0.051233138889074326,,0.05068386346101761,,3.26039981842041,,3.122345447540283,,617.1678466796875,,616.9099731445312,
1,,,3.9999998989515007e-05,0.0,,903.86181640625,,18,1.0,0.05336715653538704,,0.052794765681028366,,3.250556468963623,,3.109079360961914,,616.818115234375,,616.5383911132812,
1,,,3.9999998989515007e-05,0.0,,901.0589599609375,,19,1.0,0.05542778968811035,,0.054823584854602814,,3.209778308868408,,3.0684444904327393,,616.3956298828125,,616.0985107421875,
1,,,3.9999998989515007e-05,0.0,,929.7486572265625,,20,1.0,0.05754668265581131,,0.05689572915434837,,3.1933302879333496,,3.039961338043213,,616.0220336914062,,615.6771240234375,
1,,,3.9999998989515007e-05,0.0,,886.086669921875,,21,1.0,0.059481482952833176,,0.058760322630405426,,3.1855645179748535,,3.034447431564331,,615.6987915039062,,615.3552856445312,
1,,,3.9999998989515007e-05,0.0,,894.4529418945312,,22,1.0,0.061601486057043076,,0.060807645320892334,,3.1772854328155518,,3.011613130569458,,615.343505859375,,614.9452514648438,
1,,,3.9999998989515007e-05,0.0,,904.3131103515625,,23,1.0,0.06354837864637375,,0.06275051087141037,,3.151437520980835,,2.9825668334960938,,614.9581909179688,,614.5247192382812,
1,,,3.9999998989515007e-05,0.0,,884.9473876953125,,24,1.0,0.06544778496026993,,0.06461552530527115,,3.1241095066070557,,2.95562481880188,,614.5692138671875,,614.1168823242188,
1,,,3.9999998989515007e-05,0.0,,874.6038818359375,,25,1.0,0.06723671406507492,,0.06630273908376694,,3.118501901626587,,2.9388628005981445,,614.2661743164062,,613.7705688476562,
1,,,3.9999998989515007e-05,0.0,,877.672119140625,,26,1.0,0.06912422925233841,,0.06816952675580978,,3.0862135887145996,,2.9023594856262207,,613.851318359375,,613.3114013671875,
1,,,3.9999998989515007e-05,0.0,,873.3062744140625,,27,1.0,0.07116362452507019,,0.07016938924789429,,3.078784227371216,,2.8938968181610107,,613.4962768554688,,612.93505859375,
1,,,3.9999998989515007e-05,0.0,,850.8334350585938,,28,1.0,0.07299216836690903,,0.07195302098989487,,3.052560329437256,,2.8570961952209473,,613.101318359375,,612.4714965820312,
1,,,3.9999998989515007e-05,0.0,,858.3775024414062,,29,1.0,0.07487024366855621,,0.07374265044927597,,3.0356717109680176,,2.834789991378784,,612.7291259765625,,612.0609741210938,
