gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
Cdk15,0.10312430010522357,0.077191100152685,0.10312430010522357,1.1124327693195633,False,True,True,False,False,False,True,False,insig.pos
Cdk18,0.13437914660695863,0.005641849151911579,0.13437914660695863,2.2485785299084466,True,False,True,False,True,False,False,False,sig.pos
Cdk4,-0.10044926971886359,0.050290652621005405,-0.10044926971886359,1.2985127285098665,False,True,False,True,False,False,False,True,insig.neg
Cdk6,0.04619949870099646,0.00909961189259807,0.04619949870099646,2.0409771303709356,True,False,True,False,True,False,False,False,sig.pos
Cdkn1a,-0.1823050261250863,6.887284782608618e-05,-0.1823050261250863,4.161951958983837,True,False,False,True,False,True,False,False,sig.neg
Cdkn1c,0.1534001809366961,0.00464129778215235,0.1534001809366961,2.333360566681857,True,False,True,False,True,False,False,False,sig.pos
Cdkn2a,0.08991359596919997,0.01100526917763733,0.08991359596919997,1.9583993305815213,True,False,True,False,True,False,False,False,sig.pos
Cdkn2b,0.1089212914295918,0.046460452460984916,0.1089212914295918,1.332916565083519,True,False,True,False,True,False,False,False,sig.pos
Cdx1,0.06584350750703145,0.1362676553653973,0.06584350750703145,0.8656072165300517,False,True,True,False,False,False,True,False,insig.pos
Ceacam1,0.5933116134001809,2.650641846811769e-26,0.5933116134001809,25.576648949921132,True,False,True,False,True,False,False,False,sig.pos
Ceacam10,0.26000645371764164,5.5684959013590116e-08,0.26000645371764164,7.254262095661546,True,False,True,False,True,False,False,False,sig.pos
Ceacam15,0.13547890648915023,0.007983906961947725,0.13547890648915023,2.097784532610983,True,False,True,False,True,False,False,False,sig.pos
Cebpa,0.2540935804853174,6.04427039335456e-08,0.2540935804853174,7.21865611552508,True,False,True,False,True,False,False,False,sig.pos
Cebpb,-0.0633782215320588,0.008085869425764025,-0.0633782215320588,2.0922732761272553,True,False,False,True,False,True,False,False,sig.neg
Cebpd,0.39695058054160315,8.135047523770431e-15,0.39695058054160315,14.089639905634193,True,False,True,False,True,False,False,False,sig.pos
Cebpe,0.6620725071323721,1.1609009044469758e-29,0.6620725071323721,28.93520485044974,True,False,True,False,True,False,False,False,sig.pos
Cecr6,0.13496581398337615,0.037369749931640474,0.13496581398337615,1.4274798083230147,True,False,True,False,True,False,False,False,sig.pos
Cemip,0.14197748545472694,0.012697784971093449,0.14197748545472694,1.8962720317000252,True,False,True,False,True,False,False,False,sig.pos
Cerkl,0.07880653568556602,0.2953770869738782,0.07880653568556602,0.5296231968600833,False,True,True,False,False,False,True,False,insig.pos
Ces1d,0.17365025807380308,0.0009805663970769438,0.17365025807380308,3.0085229936251343,True,False,True,False,True,False,False,False,sig.pos
Ces2c,0.128333155716036,0.008378041783263042,0.128333155716036,2.076857478040767,True,False,True,False,True,False,False,False,sig.pos
Ces4a,0.10143051892753892,0.1390914823861329,0.10143051892753892,0.8566994642995609,False,True,True,False,False,False,True,False,insig.pos
Cfap161,0.1548079599241646,0.009389112475003385,0.1548079599241646,2.027375458364943,True,False,True,False,True,False,False,False,sig.pos
Cfap70,0.11846704460461732,0.0168859251320044,0.11846704460461732,1.7724751406123331,True,False,True,False,True,False,False,False,sig.pos
Cfb,0.08209906079894563,0.16505729624818447,0.08209906079894563,0.7823652732101405,False,True,True,False,False,False,True,False,insig.pos
Cflar,0.04940209126207339,0.43704324762142416,0.04940209126207339,0.35947558528584206,False,True,True,False,False,False,True,False,insig.pos
Cfp,-0.08936877932650254,0.0518505218347908,-0.08936877932650254,1.28524686841998,False,True,False,True,False,False,False,True,insig.neg
Ch25h,0.13319553147634422,0.012634294086679763,0.13319553147634422,1.898449018312654,True,False,True,False,True,False,False,False,sig.pos
